dataset	min_token_freq	vocab_size	vocab_used	layer_size	num_params	method	run	CIDEr	Bleu_1	Bleu_2	Bleu_3	Bleu_4	METEOR	ROUGE_L
flickr30k	3	9584	459	128	4345840	merge	1	0.38030374846	0.616914003044	0.416522327442	0.278165303961	0.186913523318	0.173102742736	0.420013427044
flickr30k	3	9584	461	128	4345840	merge	2	0.373938700824	0.602703683542	0.406447122624	0.272493316058	0.182311789404	0.174551686652	0.416780162927
flickr30k	3	9584	458	128	4345840	merge	3	0.379860958854	0.609607951408	0.417943581701	0.28255588692	0.189431138651	0.177049009061	0.421805894002
flickr30k	3	9584	401	128	3184624	inject	1	0.356281514769	0.604180213655	0.410309333604	0.275528324109	0.185861849518	0.169817775129	0.418062011596
flickr30k	3	9584	407	128	3184624	inject	2	0.349728589138	0.602000909504	0.405274933727	0.268578494054	0.176886280576	0.171102591547	0.418484731926
flickr30k	3	9584	368	128	3184624	inject	3	0.358993516436	0.610303830911	0.416184811587	0.281051259459	0.188923486578	0.173026292291	0.420233823984
flickr30k	3	9584	471	256	8944240	merge	1	0.364744602184	0.588629636079	0.399348219228	0.268316144137	0.180276385283	0.176844559864	0.41663709839
flickr30k	3	9584	458	256	8944240	merge	2	0.373869386536	0.608067542214	0.409577371431	0.273056327174	0.18267768384	0.172822751302	0.414507728948
flickr30k	3	9584	472	256	8944240	merge	3	0.354782064854	0.592028544078	0.403912157613	0.269680269795	0.178651561971	0.175414574593	0.417594771889
flickr30k	3	9584	437	256	6752880	inject	1	0.371102331484	0.623937544335	0.427779769937	0.289477255467	0.193910443639	0.175516586235	0.423943690266
flickr30k	3	9584	404	256	6752880	inject	2	0.343351474242	0.611948684334	0.415530692578	0.278946184871	0.184393233269	0.170351980898	0.417931990093
flickr30k	3	9584	398	256	6752880	inject	3	0.363192831103	0.607175712971	0.414805830869	0.281832213365	0.18998340187	0.171775722713	0.419029788114
flickr30k	3	9584	447	512	18927472	merge	1	0.363278894483	0.592981814859	0.396191277773	0.262878850174	0.17488454089	0.169805492162	0.409741409384
flickr30k	3	9584	475	512	18927472	merge	2	0.358958360632	0.601777857592	0.403309693252	0.270028502159	0.181552699919	0.1728093719	0.415178123456
flickr30k	3	9584	483	512	18927472	merge	3	0.349839688413	0.594450846556	0.397593751479	0.26184340892	0.173398187025	0.17291850289	0.415600661065
flickr30k	3	9584	447	512	15069040	inject	1	0.354793388089	0.603547998629	0.408721707391	0.273958957983	0.181172674165	0.171053953363	0.414194735062
flickr30k	3	9584	393	512	15069040	inject	2	0.372519120778	0.619808282072	0.423576038398	0.285768516892	0.191026080443	0.173427219361	0.421134838679
flickr30k	3	9584	399	512	15069040	inject	3	0.352786828818	0.602958829769	0.411155111927	0.275427996273	0.18292119217	0.17224546118	0.41434092669
flickr30k	4	8275	470	128	3841875	merge	1	0.377106957215	0.592704903829	0.403233772197	0.270304083698	0.181561611148	0.175388143521	0.419066710666
flickr30k	4	8275	434	128	3841875	merge	2	0.378335269304	0.622682764521	0.425367051556	0.28448286907	0.190266798437	0.172835348139	0.420944949478
flickr30k	4	8275	437	128	3841875	merge	3	0.372516153247	0.598669423717	0.405618246491	0.272740691974	0.18217676573	0.174732822745	0.419789986006
flickr30k	4	8275	400	128	2848211	inject	1	0.3556619758	0.608915421091	0.413120298857	0.276730715134	0.184660463081	0.169357297299	0.417428051118
flickr30k	4	8275	410	128	2848211	inject	2	0.349420786775	0.598637551325	0.407188096594	0.274810016886	0.183767128206	0.171154237362	0.415415115985
